HR_01x01
--------------------------------------------------------------------
Spatial distribution of season types
1 - Summer
2 - Early fall
3 - Late fall
4 - Winter
5 - Spring
--------------------------------------------------------------------
  i    j  Jan  Feb  Mar  Apr  May  Jun  Jul  Aug  Sep  Oct  Nov  Dec
 65    4    4    4    5    5    1    1    1    1    1    2    3    3
 66    4    4    4    5    5    1    1    1    1    1    2    3    3
 67    4    4    4    5    5    1    1    1    1    1    2    3    3
 68    4    4    4    5    5    1    1    1    1    1    2    3    3
 69    4    4    4    5    5    1    1    1    1    1    2    3    3
 70    4    4    4    5    5    1    1    1    1    1    2    3    3
 71    4    4    4    5    5    1    1    1    1    1    2    3    3
 72    4    4    4    5    5    1    1    1    1    1    2    3    3
 73    4    4    4    5    5    1    1    1    1    1    2    3    3
 74    4    4    4    5    5    1    1    1    1    1    2    3    3
 75    4    4    4    5    5    1    1    1    1    1    2    3    3
 76    4    4    4    5    5    1    1    1    1    1    2    3    3
 77    4    4    4    5    5    1    1    1    1    1    2    3    3
 78    4    4    4    5    5    1    1    1    1    1    2    3    3
 79    4    4    4    5    5    1    1    1    1    1    2    3    3
 80    4    4    4    5    5    1    1    1    1    1    2    3    3
 81    4    4    4    5    5    1    1    1    1    1    2    3    3
 82    4    4    4    5    5    1    1    1    1    1    2    3    3
 83    4    4    4    5    5    1    1    1    1    1    2    3    3
 84    4    4    4    5    5    1    1    1    1    1    2    3    3
 85    4    4    4    5    5    1    1    1    1    1    2    3    3
 86    4    4    4    5    5    1    1    1    1    1    2    3    3
 87    4    4    4    5    5    1    1    1    1    1    2    3    3
 88    4    4    4    5    5    1    1    1    1    1    2    3    3
 89    4    4    4    5    5    1    1    1    1    1    2    3    3
  1    5    4    4    5    5    1    1    1    1    1    2    3    3
  2    5    4    4    5    5    1    1    1    1    1    2    3    3
  3    5    4    4    5    5    1    1    1    1    1    2    3    3
  4    5    4    4    5    5    1    1    1    1    1    2    3    3
  5    5    4    4    5    5    1    1    1    1    1    2    3    3
  6    5    4    4    5    5    1    1    1    1    1    2    3    3
  7    5    4    4    5    5    1    1    1    1    1    2    3    3
  8    5    4    4    5    5    1    1    1    1    1    2    3    3
  9    5    4    4    5    5    1    1    1    1    1    2    3    3
 10    5    4    4    5    5    1    1    1    1    1    2    3    3
 11    5    4    4    5    5    1    1    1    1    1    2    3    3
 12    5    4    4    5    5    1    1    1    1    1    2    3    3
 13    5    4    4    5    5    1    1    1    1    1    2    3    3
 14    5    4    4    5    5    1    1    1    1    1    2    3    3
 15    5    4    4    5    5    1    1    1    1    1    2    3    3
 16    5    4    4    5    5    1    1    1    1    1    2    3    3
 17    5    4    4    5    5    1    1    1    1    1    2    3    3
 18    5    4    4    5    5    1    1    1    1    1    2    3    3
 19    5    4    4    5    5    1    1    1    1    1    2    3    3
 20    5    4    4    5    5    1    1    1    1    1    2    3    3
 21    5    4    4    5    5    1    1    1    1    1    2    3    3
 22    5    4    4    5    5    1    1    1    1    1    2    3    3
 23    5    4    4    5    5    1    1    1    1    1    2    3    3
 24    5    4    4    5    5    1    1    1    1    1    2    3    3
 25    5    4    4    5    5    1    1    1    1    1    2    3    3
 26    5    4    4    5    5    1    1    1    1    1    2    3    3
 27    5    4    4    5    5    1    1    1    1    1    2    3    3
 28    5    4    4    5    5    1    1    1    1    1    2    3    3
 29    5    4    4    5    5    1    1    1    1    1    2    3    3
 30    5    4    4    5    5    1    1    1    1    1    2    3    3
 31    5    4    4    5    5    1    1    1    1    1    2    3    3
 32    5    4    4    5    5    1    1    1    1    1    2    3    3
 33    5    4    4    5    5    1    1    1    1    1    2    3    3
 34    5    4    4    5    5    1    1    1    1    1    2    3    3
 35    5    4    4    5    5    1    1    1    1    1    2    3    3
 36    5    4    4    5    5    1    1    1    1    1    2    3    3
 37    5    4    4    5    5    1    1    1    1    1    2    3    3
 38    5    4    4    5    5    1    1    1    1    1    2    3    3
 39    5    4    4    5    5    1    1    1    1    1    2    3    3
 40    5    4    4    5    5    1    1    1    1    1    2    3    3
 41    5    4    4    5    5    1    1    1    1    1    2    3    3
 42    5    4    4    5    5    1    1    1    1    1    2    3    3
 43    5    4    4    5    5    1    1    1    1    1    2    3    3
 44    5    4    4    5    5    1    1    1    1    1    2    3    3
 45    5    4    4    5    5    1    1    1    1    1    2    3    3
 46    5    4    4    5    5    1    1    1    1    1    2    3    3
 47    5    4    4    5    5    1    1    1    1    1    2    3    3
 48    5    4    4    5    5    1    1    1    1    1    2    3    3
 49    5    4    4    5    5    1    1    1    1    1    2    3    3
 50    5    4    4    5    5    1    1    1    1    1    2    3    3
 51    5    4    4    5    5    1    1    1    1    1    2    3    3
 52    5    4    4    5    5    1    1    1    1    1    2    3    3
 53    5    4    4    5    5    1    1    1    1    1    2    3    3
 54    5    4    4    5    5    1    1    1    1    1    2    3    3
 55    5    4    4    5    5    1    1    1    1    1    2    3    3
 56    5    4    4    5    5    1    1    1    1    1    2    3    3
 57    5    4    4    5    5    1    1    1    1    1    2    3    3
 58    5    4    4    5    5    1    1    1    1    1    2    3    3
 59    5    4    4    5    5    1    1    1    1    1    2    3    3
 60    5    4    4    5    5    1    1    1    1    1    2    3    3
 61    5    4    4    5    5    1    1    1    1    1    2    3    3
 62    5    4    4    5    5    1    1    1    1    1    2    3    3
 63    5    4    4    5    5    1    1    1    1    1    2    3    3
 64    5    4    4    5    5    1    1    1    1    1    2    3    3
 65    5    4    4    5    5    1    1    1    1    1    2    3    3
 66    5    4    4    5    5    1    1    1    1    1    2    3    3
 67    5    4    4    5    5    1    1    1    1    1    2    3    3
 68    5    4    4    5    5    1    1    1    1    1    2    3    3
 69    5    4    4    5    5    1    1    1    1    1    2    3    3
 70    5    4    4    5    5    1    1    1    1    1    2    3    3
 71    5    4    4    5    5    1    1    1    1    1    2    3    3
 72    5    4    4    5    5    1    1    1    1    1    2    3    3
 73    5    4    4    5    5    1    1    1    1    1    2    3    3
 74    5    4    4    5    5    1    1    1    1    1    2    3    3
 75    5    4    4    5    5    1    1    1    1    1    2    3    3
 76    5    4    4    5    5    1    1    1    1    1    2    3    3
 77    5    4    4    5    5    1    1    1    1    1    2    3    3
 78    5    4    4    5    5    1    1    1    1    1    2    3    3
 79    5    4    4    5    5    1    1    1    1    1    2    3    3
 80    5    4    4    5    5    1    1    1    1    1    2    3    3
 81    5    4    4    5    5    1    1    1    1    1    2    3    3
 82    5    4    4    5    5    1    1    1    1    1    2    3    3
 83    5    4    4    5    5    1    1    1    1    1    2    3    3
 84    5    4    4    5    5    1    1    1    1    1    2    3    3
 85    5    4    4    5    5    1    1    1    1    1    2    3    3
 86    5    4    4    5    5    1    1    1    1    1    2    3    3
 87    5    4    4    5    5    1    1    1    1    1    2    3    3
 88    5    4    4    5    5    1    1    1    1    1    2    3    3
 89    5    4    4    5    5    1    1    1    1    1    2    3    3
  1    6    4    4    5    5    1    1    1    1    1    2    3    3
  2    6    4    4    5    5    1    1    1    1    1    2    3    3
  3    6    4    4    5    5    1    1    1    1    1    2    3    3
  4    6    4    4    5    5    1    1    1    1    1    2    3    3
  5    6    4    4    5    5    1    1    1    1    1    2    3    3
  6    6    4    4    5    5    1    1    1    1    1    2    3    3
  7    6    4    4    5    5    1    1    1    1    1    2    3    3
  8    6    4    4    5    5    1    1    1    1    1    2    3    3
  9    6    4    4    5    5    1    1    1    1    1    2    3    3
 10    6    4    4    5    5    1    1    1    1    1    2    3    3
