PLN_01x01
--------------------------------------------------------------------
Spatial distribution of season types
1 - Summer
2 - Early fall
3 - Late fall
4 - Winter
5 - Spring
--------------------------------------------------------------------
  i    j  Jan  Feb  Mar  Apr  May  Jun  Jul  Aug  Sep  Oct  Nov  Dec
 10    4    4    4    5    5    1    1    1    1    1    2    3    4
 11    4    4    4    5    5    1    1    1    1    1    2    3    4
 12    4    4    4    5    5    1    1    1    1    1    2    3    4
 13    4    4    4    5    5    1    1    1    1    1    2    3    4
 14    4    4    4    5    5    1    1    1    1    1    2    3    4
 15    4    4    4    5    5    1    1    1    1    1    2    3    4
 16    4    4    4    5    5    1    1    1    1    1    2    3    4
 17    4    4    4    5    5    1    1    1    1    1    2    3    4
 18    4    4    4    5    5    1    1    1    1    1    2    3    4
 19    4    4    4    5    5    1    1    1    1    1    2    3    4
 20    4    4    4    5    5    1    1    1    1    1    2    3    4
 21    4    4    4    5    5    1    1    1    1    1    2    3    4
 22    4    4    4    5    5    1    1    1    1    1    2    3    4
